,name,priority,total_observations,total_observations_recent,exoclock_observations,exoclock_observations_recent,etd_observations,etd_observations_recent,space_observations,space_observations_recent,literature_midtimes,literature_midtimes_recent,current_oc_min,discovery_ref,depth_r_mmag,duration_hours,ephem_mid_time,ephem_mid_time_e1,ephem_mid_time_e2,ephem_mid_time_format,ephem_mid_time_units,ephem_period,ephem_period_e1,ephem_period_e2,ephem_period_units,ephem_parameters_ref,eccentricity,eccentricity_e1,eccentricity_e2,inclination,inclination_adjusted,inclination_e1,inclination_e2,inclination_units,periastron,periastron_e1,periastron_e2,periastron_units,rp_over_rs,rp_over_rs_adjusted,rp_over_rs_e1,rp_over_rs_e2,rp_over_rs_units,sma_over_rs,sma_over_rs_adjusted,sma_over_rs_e1,sma_over_rs_e2,sma_over_rs_units,transit_parameters_ref,kepler_rp_over_rs,kepler_rp_over_rs_e1,kepler_rp_over_rs_e2,tess_rp_over_rs,tess_rp_over_rs_e1,tess_rp_over_rs_e2,star,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,logg,logg_e1,logg_e2,logg_units,meta,meta_e1,meta_e2,meta_units,teff,teff_e1,teff_e2,teff_units,ldc_parameters_ref,min_telescope_inches,min_telescope_inches_hf,expected_transit_snr_tess,t0_bjd_tdb,t0_unc,period_days,period_unc
HAT-P-67b,HAT-P-67b,high,10,0,0,0,0,0,9,0,1,0,0.0,2017AJ....153..211Z,9.14,7.0,2458770.48632,0.00031,-0.00031,BJD_TDB,Days,4.8101042,1.8e-06,-1.8e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.8,False,1.1,-1.3,Degrees,0.0,0.0,-0.0,Degrees,0.0834,False,0.0017,-0.0017,None,5.69,False,0.06,-0.12,None,2017AJ....153..211Z,0.0,0.0,-0.0,0.0,0.00021,-0.00021,HAT-P-67,17:06:26.5609,+44:46:37.067,10.11,9.786,9.975,3.85,0.01,-0.02,cm/s2,-0.08,0.05,-0.05,dex Fe/H or M/H,6406.0,65.0,-61.0,Kelvin,2017AJ....153..211Z,5.0,5.0,105.42,2458770.48632,0.00031,4.8101042,1.8e-06
HAT-P-68b,HAT-P-68b,low,33,5,12,5,0,0,20,0,1,0,0.1,2021AJ....161...64L,38.0,2.1,2458140.34562,0.00011,-0.00011,BJD_TDB,Days,2.29840555,1.8e-07,-1.8e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.73,False,0.47,-0.27,Degrees,0.0,0.0,-0.0,Degrees,0.1644,False,0.0015,-0.0015,None,9.6,False,0.185,-0.047,None,2021AJ....161...64L,0.0,0.0,-0.0,0.0,0.00079,-0.00079,HAT-P-68,07:53:55.9827,+23:56:17.611,13.802,13.678,13.544,4.62,0.01,-0.01,cm/s2,-0.059,0.036,-0.036,dex Fe/H or M/H,4508.0,43.0,-43.0,Kelvin,2021AJ....161...64L,10.08,10.08,33.94,2458140.34562,0.00011,2.29840555,1.8e-07
HAT-P-69b,HAT-P-69b,medium,7,1,2,1,0,0,4,0,1,0,-0.12,2019AJ....158..141Z,9.48,5.15,2459170.75396,0.00016,-0.00016,BJD_TDB,Days,4.7869883,3.3e-06,-3.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.19,False,0.52,-0.72,Degrees,0.0,0.0,-0.0,Degrees,0.08703,False,0.00075,-0.00075,None,7.32,False,0.16,-0.18,None,2019AJ....158..141Z,0.0,0.0,-0.0,0.0,0.00033,-0.00033,HAT-P-69,08:42:01.3561,+03:42:38.022,9.77,9.667,9.773,4.11,0.03,-0.06,cm/s2,-0.069,0.058,-0.075,dex Fe/H or M/H,7394.0,360.0,-600.0,Kelvin,2019AJ....158..141Z,5.0,5.0,95.01,2459170.75396,0.00016,4.7869883,3.3e-06
HAT-P-70b,HAT-P-70b,low,16,5,7,5,0,0,8,0,1,0,-1.35,2019AJ....158..141Z,11.4,3.67,2459089.978883,8.9e-05,-8.9e-05,BJD_TDB,Days,2.74431939,9.8e-07,-9.8e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.5,False,0.91,-1.42,Degrees,0.0,0.0,-0.0,Degrees,0.09887,False,0.00133,-0.00133,None,5.31,True,0.06,-0.06,None,2019AJ....158..141Z,0.0,0.0,-0.0,0.0,0.00034,-0.00034,HAT-P-70,04:58:12.5627,+09:59:52.803,9.47,9.363,9.452,4.18,0.06,-0.06,cm/s2,-0.059,0.075,-0.088,dex Fe/H or M/H,8450.0,540.0,-690.0,Kelvin,2019AJ....158..141Z,5.0,5.0,113.46,2459089.978883,8.9e-05,2.74431939,9.8e-07
HATS-1b,HATS-1b,low,21,3,7,3,1,0,12,0,1,0,-0.59,2013AJ....145....5P,19.17,2.5,2458711.86936,0.00019,-0.00019,BJD_TDB,Days,3.4464563,7.6e-07,-7.6e-07,Days,2022arXiv220909673K,0.12,0.09,-0.09,85.6,False,0.6,-1.4,Degrees,18.0,30.0,-18.0,Degrees,0.1288,False,0.002,-0.002,None,9.2,False,0.8,-0.8,None,2013AJ....145....5P,0.0,0.0,-0.0,0.0,0.00054,-0.00054,HATS-1,11:42:06.0805,-23:21:17.428,12.059,12.08,11.936,4.4,0.11,-0.11,cm/s2,-0.06,0.12,-0.12,dex Fe/H or M/H,5870.0,100.0,-100.0,Kelvin,2013AJ....145....5P,5.85,5.85,45.17,2458711.86936,0.00019,3.4464563,7.6e-07
HATS-2b,HATS-2b,medium,47,2,16,2,0,0,30,0,1,0,-0.04,2013A&A...558A..55M,23.94,2.09,2457108.30842,0.0001,-0.0001,BJD_TDB,Days,1.354133683,8.6e-08,-8.6e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.2,False,0.7,-0.7,Degrees,0.0,0.0,-0.0,Degrees,0.1335,False,0.001,-0.001,None,5.5,False,0.09,-0.09,None,2013A&A...558A..55M,0.0,0.0,-0.0,0.0,0.0007,-0.0007,HATS-2,11:46:57.3702,-22:33:46.816,13.62,13.4,13.342,4.48,0.02,-0.02,cm/s2,0.15,0.05,-0.05,dex Fe/H or M/H,5227.0,95.0,-95.0,Kelvin,2013A&A...558A..55M,9.1,9.1,22.46,2457108.30842,0.0001,1.354133683,8.6e-08
HATS-3b,HATS-3b,high,10,0,2,0,0,0,7,0,1,0,1.92,2013AJ....146..113B,12.65,3.62,2456599.44946,0.00013,-0.00013,BJD_TDB,Days,3.54785091,5e-07,-5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.2,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.1011,False,0.0006,-0.0006,None,7.42,False,0.12,-0.12,None,2013AJ....146..113B,0.0,0.0,-0.0,0.0,0.00071,-0.00071,HATS-3,20:49:49.7852,-24:25:43.539,12.43,11.692,11.891,4.22,0.01,-0.01,cm/s2,-0.16,0.07,-0.07,dex Fe/H or M/H,6351.0,76.0,-76.0,Kelvin,2013AJ....146..113B,5.22,5.22,35.36,2456599.44946,0.00013,3.54785091,5e-07
HATS-4b,HATS-4b,medium,29,3,9,3,0,0,19,0,1,0,-0.4,2014AJ....148...29J,17.11,2.5,2458219.36583,0.00023,-0.00023,BJD_TDB,Days,2.51672679,4.2e-07,-4.2e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.5,False,0.6,-0.6,Degrees,0.0,0.0,-0.0,Degrees,0.113,False,0.003,-0.003,None,8.43,False,0.17,-0.22,None,2014AJ....148...29J,0.0,0.0,-0.0,0.0,0.00094,-0.00094,HATS-4,06:16:26.9016,-22:32:48.815,13.459,13.039,13.286,4.51,0.02,-0.02,cm/s2,0.43,0.08,-0.08,dex Fe/H or M/H,5403.0,50.0,-50.0,Kelvin,2014AJ....148...29J,8.01,8.01,17.37,2458219.36583,0.00023,2.51672679,4.2e-07
HATS-5b,HATS-5b,medium,17,2,6,2,1,0,9,0,1,0,-1.51,2014AJ....147..144Z,15.66,3.0,2456726.31351,0.00013,-0.00013,BJD_TDB,Days,4.76338959,6.4e-07,-6.4e-07,Days,2022arXiv220909673K,0.019,0.019,-0.019,89.3,False,0.3,-0.3,Degrees,204.0,107.0,-107.0,Degrees,0.1076,False,0.0004,-0.0004,None,13.4,False,0.3,-0.3,None,2014AJ....147..144Z,0.0,0.0,-0.0,0.0,0.00071,-0.00071,HATS-5,04:28:53.4831,-21:28:55.062,12.63,12.181,12.429,4.53,0.02,-0.02,cm/s2,0.19,0.08,-0.08,dex Fe/H or M/H,5304.0,50.0,-50.0,Kelvin,2014AJ....147..144Z,6.04,6.04,30.73,2456726.31351,0.00013,4.76338959,6.4e-07
HATS-6b,HATS-6b,low,31,4,10,4,0,0,20,0,1,0,0.86,2015AJ....149..166H,41.78,2.05,2457112.60363,0.00011,-0.00011,BJD_TDB,Days,3.32526424,3.7e-07,-3.7e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.21,False,0.08,-0.08,Degrees,0.0,0.0,-0.0,Degrees,0.1798,False,0.0008,-0.0008,None,13.65,False,0.15,-0.15,None,2015AJ....149..166H,0.0,0.0,-0.0,0.0,0.0011,-0.0011,HATS-6,05:52:35.2366,-19:01:53.970,15.16,14.139,14.36,4.68,0.01,-0.01,cm/s2,0.2,0.09,-0.09,dex Fe/H or M/H,3724.0,18.0,-18.0,Kelvin,2015AJ....149..166H,11.99,11.99,24.21,2457112.60363,0.00011,3.32526424,3.7e-07
HATS-7b,HATS-7b,low,17,4,4,4,0,0,12,0,1,0,2.8,2015ApJ...813..111B,6.65,2.3,2457340.55196,0.00035,-0.00035,BJD_TDB,Days,3.1853109,1e-06,-1e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.9,False,0.8,-0.8,Degrees,0.0,0.0,-0.0,Degrees,0.0711,False,0.0019,-0.0019,None,10.6,False,0.5,-0.7,None,2015ApJ...813..111B,0.0,0.0,-0.0,0.0,0.0019,-0.0019,HATS-7,13:55:25.6669,-21:12:27.722,13.34,13.17,13.05,4.54,0.05,-0.05,cm/s2,0.25,0.08,-0.08,dex Fe/H or M/H,4985.0,50.0,-50.0,Kelvin,2015ApJ...813..111B,17.11,14.82,8.16,2457340.55196,0.00035,3.1853109,1e-06
HATS-9b,HATS-9b,medium,23,1,3,1,0,0,20,0,0,0,-1.64,2015AJ....150...33B,6.89,3.53,2457380.70329,4e-05,-4e-05,BJD_TDB,Days,1.915311,9e-07,-9e-07,Days,2018AJ....155..119B,0.0,0.0,-0.0,86.5,False,1.6,-2.5,Degrees,0.0,0.0,-0.0,Degrees,0.072,False,0.004,-0.004,None,4.36,False,0.1,-0.25,None,2015AJ....150...33B,0.08237,0.00019,-0.00019,0.08237,0.0,-0.0,HATS-9,19:23:14.4314,-20:09:58.849,13.276,12.854,13.098,4.09,0.04,-0.04,cm/s2,0.34,0.05,-0.05,dex Fe/H or M/H,5366.0,70.0,-70.0,Kelvin,2015AJ....150...33B,13.55,11.73,9.4,2457380.70329,4e-05,1.915311,9e-07
HATS-10b,HATS-10b,medium,6,3,5,3,0,0,0,0,1,0,-0.1,2015AJ....150...33B,10.55,3.03,2456706.34481,0.0003,-0.0003,BJD_TDB,Days,3.3128281,1.3e-06,-1.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.8,False,0.7,-0.7,Degrees,0.0,0.0,-0.0,Degrees,0.0903,False,0.0013,-0.0013,None,8.7,False,0.3,-0.4,None,2015AJ....150...33B,0.0,0.0,-0.0,0.0,0.0,-0.0,HATS-10,19:37:13.6352,-22:12:16.115,13.113,12.753,12.984,4.39,0.03,-0.03,cm/s2,0.15,0.1,-0.1,dex Fe/H or M/H,5880.0,120.0,-120.0,Kelvin,2015AJ....150...33B,8.82,7.64,14.05,2456706.34481,0.0003,3.3128281,1.3e-06
HATS-11b,HATS-11b,high,8,1,2,1,0,0,5,0,1,0,-1.68,2016AJ....152...88R,15.35,4.4,2457338.608479,6.7e-05,-6.7e-05,BJD_TDB,Days,3.6191546,1e-06,-1e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.3,False,0.9,-0.9,Degrees,0.0,0.0,-0.0,Degrees,0.108,False,0.003,-0.003,None,6.88,False,0.18,-0.27,None,2016AJ....152...88R,0.10659,0.0003,-0.0003,0.10659,0.0,-0.0,HATS-11,19:17:36.1800,-22:23:23.721,14.018,13.603,13.833,4.12,0.03,-0.03,cm/s2,-0.39,0.06,-0.06,dex Fe/H or M/H,6060.0,150.0,-150.0,Kelvin,2016AJ....152...88R,9.8,9.8,13.84,2457338.608479,6.7e-05,3.6191546,1e-06
HATS-13b,HATS-13b,medium,21,3,6,3,0,0,14,0,1,0,1.04,2015A&A...580A..63M,26.19,2.64,2457375.29601,0.00019,-0.00019,BJD_TDB,Days,3.04405362,4.7e-07,-4.7e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.5,False,0.4,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.1402,False,0.0016,-0.0016,None,9.82,False,0.18,-0.18,None,2015A&A...580A..63M,0.0,0.0,-0.0,0.0,0.0014,-0.0014,HATS-13,21:07:50.7511,-26:05:48.033,13.887,13.435,13.68,4.52,0.02,-0.02,cm/s2,0.05,0.06,-0.06,dex Fe/H or M/H,5523.0,69.0,-69.0,Kelvin,2015A&A...580A..63M,9.22,9.22,20.84,2457375.29601,0.00019,3.04405362,4.7e-07
HATS-17b,HATS-17b,medium,7,1,2,1,0,0,4,0,1,0,0.07,2016AJ....151...89B,6.79,4.78,2458390.77872,0.00067,-0.00067,BJD_TDB,Days,16.254688,1.1e-05,-1.1e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.1,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.073,False,0.003,-0.003,None,25.8,False,1.1,-1.5,None,2016AJ....151...89B,0.0,0.0,-0.0,0.0,0.0013,-0.0013,HATS-17,12:48:45.5453,-47:36:49.287,12.39,11.987,12.218,4.42,0.04,-0.04,cm/s2,0.3,0.03,-0.03,dex Fe/H or M/H,5846.0,78.0,-78.0,Kelvin,2016AJ....151...89B,9.9,8.58,18.73,2458390.77872,0.00067,16.254688,1.1e-05
HATS-18b,HATS-18b,low,19,6,19,6,0,0,0,0,0,0,0.53,2016AJ....152..127P,28.33,1.94,2458217.64374,0.00016,-0.00016,BJD_TDB,Days,0.8378434,1.6e-07,-1.6e-07,Days,2022ApJS..259...62I,0.0,0.0,0.0,86.66343950049071,False,84.77450789215999,80.1611311355335,Degrees,0.0,0.0,0.0,Degrees,0.1456,False,0.0021,-0.0021,None,3.78,False,0.09,-0.14,None,2022AJ....163..228P,0.0,0.0,-0.0,0.0,0.0,-0.0,HATS-18,11:35:49.7771,-29:09:21.755,14.067,13.641,13.879,4.44,0.03,-0.03,cm/s2,0.28,0.08,-0.08,dex Fe/H or M/H,5600.0,120.0,-120.0,Kelvin,2016AJ....152..127P,9.94,9.94,16.49,2458217.64374,0.00016,0.8378434,1.6e-07
HATS-22b,HATS-22b,medium,15,2,6,2,0,0,8,0,1,0,-0.42,2017MNRAS.468..835B,26.01,2.19,2458278.17664,0.00017,-0.00017,BJD_TDB,Days,4.72281727,8.1e-07,-8.1e-07,Days,2022arXiv220909673K,0.08,0.03,-0.03,87.96,False,0.21,-0.21,Degrees,56.0,73.0,-73.0,Degrees,0.143,False,0.003,-0.003,None,15.7,False,0.4,-0.7,None,2017MNRAS.468..835B,0.0,0.0,-0.0,0.0,0.0011,-0.0011,HATS-22,11:36:02.3390,-29:32:35.957,13.46,13.2,13.122,4.64,0.03,-0.03,cm/s2,0.0,0.04,-0.04,dex Fe/H or M/H,4803.0,55.0,-55.0,Kelvin,2017MNRAS.468..835B,8.47,8.47,30.07,2458278.17664,0.00017,4.72281727,8.1e-07
HATS-23b,HATS-23b,low,20,7,9,7,0,0,10,0,1,0,3.6,2017MNRAS.468..835B,15.09,1.83,2457580.57342,0.00041,-0.00041,BJD_TDB,Days,2.1605107,1.2e-06,-1.2e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,81.02,False,0.93,-0.62,Degrees,0.0,0.0,-0.0,Degrees,0.159,False,0.02,-0.02,None,6.08,False,0.41,-0.26,None,2017MNRAS.468..835B,0.0,0.0,-0.0,0.0,0.006,-0.006,HATS-23,19:05:28.0082,-50:04:02.445,13.9,13.72,13.752,4.33,0.04,-0.04,cm/s2,0.28,0.07,-0.07,dex Fe/H or M/H,5780.0,120.0,-120.0,Kelvin,2017MNRAS.468..835B,10.23,10.23,9.95,2457580.57342,0.00041,2.1605107,1.2e-06
HATS-24b,HATS-24b,medium,52,3,11,3,0,0,40,0,1,0,-0.02,2017MNRAS.468..835B,22.23,2.45,2458912.88473,0.00013,-0.00013,BJD_TDB,Days,1.34849689,2.7e-07,-2.7e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.6,False,1.2,-1.2,Degrees,0.0,0.0,-0.0,Degrees,0.131,False,0.003,-0.003,None,4.67,False,0.1,-0.14,None,2017MNRAS.468..835B,0.0,0.0,-0.0,0.0,0.00053,-0.00053,HATS-24,17:55:33.7673,-61:44:50.367,12.83,12.82,12.691,4.38,0.02,-0.02,cm/s2,0.0,0.05,-0.05,dex Fe/H or M/H,6346.0,81.0,-81.0,Kelvin,2017MNRAS.468..835B,7.43,7.43,31.01,2458912.88473,0.00013,1.34849689,2.7e-07
HATS-25b,HATS-25b,medium,13,1,4,1,0,0,8,0,1,0,0.26,2016AJ....152..108E,16.85,3.22,2458426.47971,0.00021,-0.00021,BJD_TDB,Days,4.29864716,8.1e-07,-8.1e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.9,False,0.7,-0.7,Degrees,0.0,0.0,-0.0,Degrees,0.117,False,0.003,-0.003,None,10.0,False,0.6,-0.6,None,2016AJ....152..108E,0.0,0.0,-0.0,0.0,0.0012,-0.0012,HATS-25,13:51:37.8639,-23:46:52.255,13.1,13.07,12.935,4.35,0.05,-0.05,cm/s2,0.02,0.05,-0.05,dex Fe/H or M/H,5715.0,73.0,-73.0,Kelvin,2016AJ....152..108E,8.1,8.1,23.96,2458426.47971,0.00021,4.29864716,8.1e-07
HATS-26b,HATS-26b,medium,21,3,5,3,0,0,15,0,1,0,1.21,2016AJ....152..108E,10.01,5.28,2458422.8508,0.00057,-0.00057,BJD_TDB,Days,3.3023928,2.3e-06,-2.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.2,False,1.9,-1.9,Degrees,0.0,0.0,-0.0,Degrees,0.088,False,0.005,-0.005,None,5.0,False,0.3,-0.3,None,2016AJ....152..108E,0.0,0.0,-0.0,0.0,0.00084,-0.00084,HATS-26,09:39:42.4488,-28:35:08.098,12.96,12.9,12.843,3.94,0.05,-0.05,cm/s2,-0.02,0.05,-0.05,dex Fe/H or M/H,6071.0,81.0,-81.0,Kelvin,2016AJ....152..108E,8.9,7.71,18.74,2458422.8508,0.00057,3.3023928,2.3e-06
HATS-27b,HATS-27b,medium,16,3,3,3,0,0,12,0,1,0,0.3,2016AJ....152..108E,10.11,4.89,2458309.16373,0.00039,-0.00039,BJD_TDB,Days,4.6370496,2.1e-06,-2.1e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.3,False,1.3,-1.3,Degrees,0.0,0.0,-0.0,Degrees,0.089,False,0.004,-0.004,None,7.5,False,0.4,-0.6,None,2016AJ....152..108E,0.0,0.0,-0.0,0.0,0.0011,-0.0011,HATS-27,12:54:12.6109,-46:35:15.785,12.77,12.75,12.679,4.11,0.05,-0.05,cm/s2,0.09,0.04,-0.04,dex Fe/H or M/H,6438.0,64.0,-64.0,Kelvin,2016AJ....152..108E,8.47,7.33,19.38,2458309.16373,0.00039,4.6370496,2.1e-06
HATS-29b,HATS-29b,high,6,1,5,1,0,0,0,0,1,0,-0.13,2016AJ....152..108E,18.02,3.22,2457925.49744,0.00037,-0.00037,BJD_TDB,Days,4.6058787,1.7e-06,-1.7e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.4,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.12,False,0.003,-0.003,None,11.0,False,0.3,-0.3,None,2016AJ....152..108E,0.0,0.0,-0.0,0.0,0.0,-0.0,HATS-29,19:00:23.1569,-54:53:35.450,12.61,12.221,12.459,4.39,0.03,-0.03,cm/s2,0.16,0.08,-0.08,dex Fe/H or M/H,5670.0,110.0,-110.0,Kelvin,2016AJ....152..108E,6.11,6.11,35.43,2457925.49744,0.00037,4.6058787,1.7e-06
HATS-30b,HATS-30b,low,41,4,11,4,0,0,29,0,1,0,-1.79,2016AJ....152..108E,16.11,2.76,2458378.82983,0.00016,-0.00016,BJD_TDB,Days,3.17435131,5.9e-07,-5.9e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.8,False,0.5,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.1137,False,0.0017,-0.0017,None,8.8,False,0.3,-0.3,None,2016AJ....152..108E,0.0,0.0,-0.0,0.0,0.00064,-0.00064,HATS-30,00:22:28.4920,-59:56:33.245,12.205,12.19,12.081,4.42,0.03,-0.03,cm/s2,0.06,0.05,-0.05,dex Fe/H or M/H,5943.0,70.0,-70.0,Kelvin,2016AJ....152..108E,6.05,6.05,35.64,2458378.82983,0.00016,3.17435131,5.9e-07
HATS-31b,HATS-31b,medium,5,1,4,1,0,0,0,0,1,0,-0.85,2016AJ....152..161D,10.34,4.64,2458193.0945,0.001,-0.001,BJD_TDB,Days,3.3779344,2.8e-06,-2.8e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.0,False,2.5,-1.6,Degrees,0.0,0.0,-0.0,Degrees,0.091,False,0.005,-0.005,None,5.5,False,0.4,-0.4,None,2016AJ....152..161D,0.0,0.0,-0.0,0.0,0.0,-0.0,HATS-31,12:46:48.6784,-24:25:38.568,13.11,13.2,12.961,4.0,0.07,-0.07,cm/s2,0.0,0.07,-0.07,dex Fe/H or M/H,6050.0,120.0,-120.0,Kelvin,2016AJ....152..161D,9.75,8.47,17.02,2458193.0945,0.001,3.3779344,2.8e-06
HATS-33b,HATS-33b,medium,31,1,9,1,0,0,21,0,1,0,-0.43,2016AJ....152..161D,20.13,2.7,2458840.28135,0.00017,-0.00017,BJD_TDB,Days,2.54956317,8.2e-07,-8.2e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.6,False,0.9,-0.9,Degrees,0.0,0.0,-0.0,Degrees,0.124,False,0.008,-0.008,None,7.8,False,0.3,-0.3,None,2016AJ....152..161D,0.0,0.0,-0.0,0.0,0.00036,-0.00036,HATS-33,19:38:32.0768,-55:19:48.378,11.91,11.81,11.708,4.45,0.04,-0.04,cm/s2,0.29,0.05,-0.05,dex Fe/H or M/H,5659.0,85.0,-85.0,Kelvin,2016AJ....152..161D,5.4,5.4,56.67,2458840.28135,0.00017,2.54956317,8.2e-07
HATS-34b,HATS-34b,low,41,6,9,6,0,0,31,0,1,0,-0.73,2016AJ....152..161D,14.64,1.56,2458241.85896,0.00034,-0.00034,BJD_TDB,Days,2.10616098,8.2e-07,-8.2e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,82.28,False,0.43,-0.59,Degrees,0.0,0.0,-0.0,Degrees,0.15,False,0.014,-0.014,None,6.96,False,0.34,-0.34,None,2016AJ....152..161D,0.0,0.0,-0.0,0.0,0.0027,-0.0027,HATS-34,00:03:05.8703,-62:28:09.616,13.85,13.77,13.679,4.43,0.04,-0.04,cm/s2,0.25,0.07,-0.07,dex Fe/H or M/H,5380.0,73.0,-73.0,Kelvin,2016AJ....152..161D,10.72,10.43,9.57,2458241.85896,0.00034,2.10616098,8.2e-07
HATS-35b,HATS-35b,low,12,3,11,3,0,0,0,0,1,0,-0.48,2016AJ....152..161D,14.34,3.15,2458604.31463,0.00016,-0.00016,BJD_TDB,Days,1.82100088,2.8e-07,-2.8e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.9,False,1.3,-1.3,Degrees,0.0,0.0,-0.0,Degrees,0.1051,False,0.0012,-0.0012,None,4.79,False,0.11,-0.16,None,2016AJ....152..161D,0.0,0.0,-0.0,0.0,0.0,-0.0,HATS-35,19:46:45.1810,-63:33:56.137,12.56,12.55,12.46,4.24,0.02,-0.02,cm/s2,0.21,0.06,-0.06,dex Fe/H or M/H,6300.0,100.0,-100.0,Kelvin,2016AJ....152..161D,6.79,6.79,26.57,2458604.31463,0.00016,1.82100088,2.8e-07
HATS-37Ab,HATS-37Ab,alert,3,3,3,3,0,0,0,0,0,0,10.64,2020AJ....160..222J,6.75,2.92,2458006.80225,0.0005,-0.0005,BJD_TDB,Days,4.3315366,4.1e-06,-4.1e-06,Days,2020AJ....160..222J,0.0,0.0,-0.0,89.33,False,0.45,-0.45,Degrees,0.0,0.0,-0.0,Degrees,0.0707,False,0.0018,-0.0018,None,12.05,False,0.15,-0.23,None,2020AJ....160..222J,0.0,0.0,-0.0,0.0,0.0,-0.0,HATS-37A,13:19:12.4636,-22:59:12.730,12.341,11.735,11.998,4.48,0.02,-0.02,cm/s2,0.051,0.029,-0.029,dex Fe/H or M/H,5326.0,44.0,-44.0,Kelvin,2020AJ....160..222J,10.08,8.73,18.13,2458006.80225,0.0005,4.3315366,4.1e-06
HATS-38b,HATS-38b,alert,1,1,1,1,0,0,0,0,0,0,17.65,2020AJ....160..222J,4.07,3.22,2457725.16121,0.00072,-0.00072,BJD_TDB,Days,4.375021,1e-05,-1e-05,Days,2020AJ....160..222J,0.0,0.0,-0.0,87.21,False,0.18,-0.18,Degrees,0.0,0.0,-0.0,Degrees,0.057,False,0.0012,-0.0012,None,9.81,False,0.14,-0.14,None,2020AJ....160..222J,0.0,0.0,-0.0,0.0,0.0,-0.0,HATS-38,10:17:05.0796,-25:16:34.556,11.97,12.047,12.278,4.3,0.01,-0.01,cm/s2,-0.102,0.043,-0.043,dex Fe/H or M/H,5732.0,25.0,-25.0,Kelvin,2020AJ....160..222J,17.96,15.56,8.91,2457725.16121,0.00072,4.375021,1e-05
HATS-39b,HATS-39b,medium,8,2,3,2,0,0,4,0,1,0,1.6,2018MNRAS.477.3406B,11.1,3.73,2457704.38304,0.00039,-0.00039,BJD_TDB,Days,4.5776335,2.3e-06,-2.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.0,False,0.5,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.099,False,0.003,-0.003,None,8.0,False,0.4,-0.4,None,2018MNRAS.477.3406B,0.0,0.0,-0.0,0.0,0.0023,-0.0023,HATS-39,07:29:40.6108,-29:56:16.420,12.75,12.68,12.654,4.16,0.04,-0.04,cm/s2,0.0,0.04,-0.04,dex Fe/H or M/H,6572.0,83.0,-83.0,Kelvin,2018MNRAS.477.3406B,7.87,7.09,19.19,2457704.38304,0.00039,4.5776335,2.3e-06
HATS-40b,HATS-40b,high,9,2,2,2,0,0,6,0,1,0,-1.17,2018MNRAS.477.3406B,6.62,5.39,2457217.29095,0.0004,-0.0004,BJD_TDB,Days,3.2642813,1.8e-06,-1.8e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.8,False,1.8,-1.8,Degrees,0.0,0.0,-0.0,Degrees,0.072,False,0.003,-0.003,None,4.74,False,0.22,-0.31,None,2018MNRAS.477.3406B,0.0,0.0,-0.0,0.0,0.0025,-0.0025,HATS-40,06:42:17.1043,-29:46:36.494,13.38,13.41,13.284,3.92,0.04,-0.04,cm/s2,0.01,0.08,-0.08,dex Fe/H or M/H,6460.0,130.0,-130.0,Kelvin,2018MNRAS.477.3406B,16.03,13.89,8.9,2457217.29095,0.0004,3.2642813,1.8e-06
