,transit_count,transit_spacing,measurement_unc,planet,prob_dP_dE_less_than_0,decay_rate_variance,log_decay_rate_variance,marker_size
4646,273,5.0,100.52813144323909,NA,,0.0029034044019779436,-2.5370924690544427,1.0
4647,273,5.0,114.90064597806963,NA,,0.0037929511652989296,-2.4210227488547447,1.0
4648,273,5.0,131.328,NA,,0.004955037793750598,-2.3049530286550453,1.0
4649,273,6.0,10.367999999999999,NA,,1.489351829935241e-05,-4.827002696639838,1.0
4650,273,6.0,11.850313742012215,NA,,1.945660327250511e-05,-4.710932976440138,1.0
4651,273,6.0,13.544553991524262,NA,,2.5417728927094256e-05,-4.594863256240438,1.0
4652,273,6.0,15.48101989729806,NA,,3.3205227796581435e-05,-4.4787935360407385,1.0
4653,273,6.0,17.694342479679374,NA,,4.337866519016776e-05,-4.362723815841038,1.0
4654,273,6.0,20.22410395860484,NA,,5.666904636848759e-05,-4.24665409564134,1.0
4655,273,6.0,23.11554562698096,NA,,7.40313424176484e-05,-4.130584375441637,1.0
4656,273,6.0,26.420376928773408,NA,,9.671310903171827e-05,-4.014514655241938,1.0
4657,273,6.0,30.19770021105189,NA,,0.00012634412875851443,-3.8984449350422397,1.0
4658,273,6.0,34.51506768790446,NA,,0.00016505351788983398,-3.782375214842538,1.0
4659,273,6.0,39.4496895185625,NA,,0.00021562271263019612,-3.666305494642838,1.0
4660,273,6.0,45.08981460454634,NA,,0.0002816853272587369,-3.5502357744431423,1.0
4661,273,6.0,51.53630879948287,NA,,0.00036798824495333396,-3.43416605424344,1.0
4662,273,6.0,58.90445875569993,NA,,0.00048073270177629803,-3.3180963340437426,1.0
4663,273,6.0,67.3260336669042,NA,,0.0006280198721740392,-3.2020266138440405,1.0
4664,273,6.0,76.9516417783653,NA,,0.0008204329732264064,-3.0859568936443433,1.0
4665,273,6.0,87.95342380753897,NA,,0.0010717977143414295,-2.96988717344464,1.0
4666,273,6.0,100.52813144323909,NA,,0.0014001757339785587,-2.8538174532449427,1.0
4667,273,6.0,114.90064597806963,NA,,0.0018291624061048172,-2.737747733045242,1.0
4668,273,6.0,131.328,NA,,0.0023895822693627607,-2.6216780128455426,1.0
4669,273,7.0,10.367999999999999,NA,,8.039150235718755e-06,-5.09478985516229,1.0
4670,273,7.0,11.850313742012215,NA,,1.050218985471339e-05,-4.978720134962587,1.0
4671,273,7.0,13.544553991524262,NA,,1.3719857013541917e-05,-4.862650414762891,1.0
4672,273,7.0,15.48101989729806,NA,,1.7923354945593395e-05,-4.746580694563189,1.0
4673,273,7.0,17.694342479679374,NA,,2.3414723068078936e-05,-4.6305109743634905,1.0
4674,273,7.0,20.22410395860484,NA,,3.0588539814060896e-05,-4.514441254163791,1.0
4675,273,7.0,23.11554562698096,NA,,3.996027479103349e-05,-4.398371533964093,1.0
4676,273,7.0,26.420376928773408,NA,,5.2203327490673273e-05,-4.282301813764392,1.0
4677,273,7.0,30.19770021105189,NA,,6.81974139404558e-05,-4.166232093564694,1.0
4678,273,7.0,34.51506768790446,NA,,8.909177808630759e-05,-4.050162373364992,1.0
4679,273,7.0,39.4496895185625,NA,,0.00011638776991617387,-3.934092653165292,1.0
4680,273,7.0,45.08981460454634,NA,,0.00015204672391808623,-3.818022932965593,1.0
4681,273,7.0,51.53630879948287,NA,,0.00019863088940421454,-3.7019532127658943,1.0
4682,273,7.0,58.90445875569993,NA,,0.00025948753915122413,-3.585883492566191,1.0
4683,273,7.0,67.3260336669042,NA,,0.00033898948535508245,-3.469813772366494,1.0
4684,273,7.0,76.9516417783653,NA,,0.00044284928500684504,-3.353744052166791,1.0
4685,273,7.0,87.95342380753897,NA,,0.0005785297116978315,-3.237674331967092,1.0
4686,273,7.0,100.52813144323909,NA,,0.0007557799880200802,-3.1216046117673955,1.0
4687,273,7.0,114.90064597806963,NA,,0.0009873363091677787,-3.005534891567696,1.0
4688,273,7.0,131.328,NA,,0.001289836993375322,-2.889465171367994,1.0
4689,273,9.0,10.367999999999999,NA,,2.941929540612838e-06,-5.5313677328625594,1.0
4690,273,9.0,11.850313742012215,NA,,3.843279658766446e-06,-5.415298012662863,1.0
4691,273,9.0,13.544553991524262,NA,,5.02078596090748e-06,-5.299228292463165,1.0
4692,273,9.0,15.48101989729806,NA,,6.559057342534582e-06,-5.183158572263465,1.0
4693,273,9.0,17.694342479679374,NA,,8.568625222749217e-06,-5.067088852063762,1.0
4694,273,9.0,20.22410395860484,NA,,1.1193885702417373e-05,-4.951019131864062,1.0
4695,273,9.0,23.11554562698096,NA,,1.4623475045461224e-05,-4.834949411664367,1.0
4696,273,9.0,26.420376928773408,NA,,1.910382400626527e-05,-4.718879691464665,1.0
4697,273,9.0,30.19770021105189,NA,,2.495686493995349e-05,-4.602809971264964,1.0
4698,273,9.0,34.51506768790446,NA,,3.26031640276215e-05,-4.486740251065264,1.0
4699,273,9.0,39.4496895185625,NA,,4.2592140766458285e-05,-4.370670530865565,1.0
4700,273,9.0,45.08981460454634,NA,,5.5641546125182916e-05,-4.254600810665865,1.0
4701,273,9.0,51.53630879948287,NA,,7.268903604016476e-05,-4.138531090466165,1.0
4702,273,9.0,58.90445875569993,NA,,9.495954602988661e-05,-4.022461370266465,1.0
4703,273,9.0,67.3260336669042,NA,,0.00012405330808375976,-3.906391650066769,1.0
4704,273,9.0,76.9516417783653,NA,,0.0001620608342175635,-3.790321929867064,1.0
4705,273,9.0,87.95342380753897,NA,,0.00021171312875879997,-3.6742522096673667,1.0
4706,273,9.0,100.52813144323909,NA,,0.00027657792276119815,-3.5581824894676655,1.0
4707,273,9.0,114.90064597806963,NA,,0.0003613160308355182,-3.4421127692679683,1.0
4708,273,9.0,131.328,NA,,0.0004720162507383253,-3.3260430490682653,1.0
4709,273,11.0,10.367999999999999,NA,,1.3183525521453955e-06,-5.879968435738163,1.0
4710,273,11.0,11.850313742012215,NA,,1.7222701892744126e-06,-5.763898715538463,1.0
4711,273,11.0,13.544553991524262,NA,,2.2499403517187373e-06,-5.647828995338766,1.0
4712,273,11.0,15.48101989729806,NA,,2.939278411609143e-06,-5.5317592751390645,1.0
4713,273,11.0,17.694342479679374,NA,,3.839816275285654e-06,-5.415689554939365,1.0
4714,273,11.0,20.22410395860484,NA,,5.016261463940995e-06,-5.299619834739665,1.0
4715,273,11.0,23.11554562698096,NA,,6.55314662750305e-06,-5.183550114539963,1.0
4716,273,11.0,26.420376928773408,NA,,8.560903579339338e-06,-5.067480394340263,1.0
4717,273,11.0,30.19770021105189,NA,,1.1183798297318188e-05,-4.951410674140563,1.0
4718,273,11.0,34.51506768790446,NA,,1.461029705520284e-05,-4.835340953940864,1.0
4719,273,11.0,39.4496895185625,NA,,1.9086608535532572e-05,-4.719271233741167,1.0
4720,273,11.0,45.08981460454634,NA,,2.493437498308348e-05,-4.603201513541466,1.0
4721,273,11.0,51.53630879948287,NA,,3.2573783584421695e-05,-4.487131793341768,1.0
