,planet,num_transits,mu,sd,prob_decay
145,hd191939c,8,-7072.375376530748,3461.4279013052137,0.9771363858458488
146,hd219134,14,3.211766941998547,5.068012786129978,0.251485934878377
147,hd219666,7,-1713.7874281286172,1151.4952746153576,0.9379917258681811
148,hd22772a,12,39.535501016945574,71.62253783159306,0.27832524484769866
149,hd2685,17,-42.04278318123104,38.9699395376428,0.8671452340097277
150,hd29458,59,-0.10563795598262353,0.04800316248194683,0.9855069711525306
151,hd5278,9,319.8299479205601,455.23851134565393,0.22519088729040648
152,hd63433,13,453.9803341567684,343.5672449483122,0.08724598697744795
153,hd63433c,4,-301.4450104953253,7283.000806564842,0.5202725354803035
154,hd86226c,11,801.4989650781047,559.8981475463402,0.07091040039991202
155,hd89345,9,-3675.6015208843182,1167.688476246434,0.9972275520548404
156,hd97658,24,0.2880887336684129,5.395682591252407,0.4779242439720347
157,hip65a,89,-0.23634495001066633,0.2133597004000428,0.86741048502456
158,k2113,11,84.67012859787874,76.89584196645896,0.125492519772424
159,k2115,8,81.30420394528356,94.68862320874494,0.17784360639627955
160,k2116,7,17.55653133271216,266.2002639182136,0.4699916612054499
161,k2121,29,-0.8517715428970981,0.9966995868153212,0.8090512568191193
162,k2132,4,-815.6842216570595,1224.4439684370232,0.7854609827929887
163,k2136c,5,2359.7252484795763,1805.0287633668195,0.08023489149154653
164,k2140,9,-11.25570464352006,11.006109455397915,0.8602445628062891
165,k2155c,4,-394.1549743099737,6407.655915517192,0.5301077827789946
166,k219,16,-69.6777254005823,10.931891177592911,0.99999791911625
167,k2198,5,-1285.7703801488117,2499.415594506425,0.7240553730269199
168,k2198d,7,-153.66054151953088,730.6232378611762,0.5928839179516017
169,k2199c,11,274.23564559655773,437.89118849301013,0.2515321787806307
170,k2232,6,51.88670480146625,141.0273059768587,0.33821563124533766
171,k2237,35,0.2502649607547253,0.6269773987567758,0.34156126262714626
172,k2238,10,4.549076174948821,5.294753359278551,0.18129690889823175
173,k2260,27,2.868148534670896,2.90055449774334,0.15622373201694087
174,k2261,10,-4.8365451675587625,50.65215516288733,0.5410853187548263
175,k2266d,6,833.4147682367834,3303.5774012327647,0.38699479144399235
176,k2284,13,4.930921539875797,174.1481644866016,0.4878829462978017
177,k2295,15,-25.4539090604767,24.167291611349096,0.8621659352388537
178,k230,33,-2.9136687686530385,1.5189629565917906,0.9718701419871187
179,k231,10,0.15297085198524818,0.19015873257097596,0.19479466187750588
180,k2333,5,-4946.5826691524035,2899.150580212674,0.9591828938399743
181,k2334,14,81.87270824172171,68.9641184877893,0.11028219833007988
182,k234,46,0.18502297933746065,0.23248755725598788,0.20969527028413282
183,k255,18,-8.436966952265923,12.04672183940972,0.7659472467316306
184,kelt1,87,0.040656099287121196,0.024893890260103788,0.05102505460923644
185,kelt10,11,1.1021928969501351,4.036257095983704,0.3849766786371114
186,kelt11,13,12.535667991629648,5.957083459811916,0.019911252355389753
187,kelt12,16,0.9217436542021337,4.726658703877249,0.4184483613693555
188,kelt14,48,-0.007030676840706536,0.09908912948024036,0.528820444075555
189,kelt15,36,-1.9935036661402663,5.77695730239568,0.6379601564434054
190,kelt16,133,0.023685709393793292,0.028897909622578977,0.20503632991810655
191,kelt17,27,0.459141716646168,2.098497153473425,0.4110153800334013
192,kelt18,40,2.009425125491171,1.3820198944109494,0.07174035578844658
193,kelt19a,9,22.469313552142278,10.293965225487101,0.017412382888323454
194,kelt20,34,0.11212651287439868,0.3233316629492859,0.3611834350280472
195,kelt21,24,1.7050003521018198,0.9255219572868779,0.03313825643623988
196,kelt23a,57,-0.603374438412026,0.6364684195136227,0.8307954353561314
197,kelt24,27,0.30379214024348217,3.7805358531720565,0.46699240409029197
198,kelt2a,16,1.0518990222852547,5.289337160343708,0.4165080828582089
199,kelt3,28,-0.49107871689053356,0.5825807838434617,0.8058357908228846
200,kelt4a,20,-2.141647908613454,1.5758192472600638,0.9164797317993014
201,kelt6,13,-3.4779176019093714,7.940395209775677,0.6800048222043744
202,kelt7,50,-0.12086420184674998,0.10133719016572358,0.885611538496541
203,kelt8,13,-1.2050234090553886,2.4745614307250525,0.6982662949625336
204,kelt9,42,-0.05417462318740984,0.033980034621191736,0.9451609383735461
205,kepler18d,82,26.09123822591874,26.2190654383765,0.1581434494844411
206,kepler396c,14,-8333.262793431311,998.4149259562145,0.9999998340053331
207,kepler422,167,-1.1334601225587482,1.1067551449132325,0.8479449850019533
208,kepler435,146,0.16020628663666125,6.745418457227158,0.4904721665315914
209,kepler447,132,-0.060330901874234455,1.1918102858268471,0.5203162905811025
210,kepler5,370,0.6643472588046002,0.2598970504646513,0.0053952203128150205
211,kepler6,328,-0.01881427493797611,0.09075158311174222,0.5823218666407546
212,kepler7,263,0.013362571849015972,0.3786995456812229,0.4858806727266898
213,koi12,73,15.58636882917459,11.408974604806634,0.08503214321865858
214,koi13,762,0.008618552271846531,0.007073438582767845,0.11139635318095002
215,koi94c,54,-82.22759295213982,53.80123779274362,0.9374959940852969
216,koi94d,25,13.333706465332705,54.379731379159125,0.39988189742572205
217,koi94e,8,8749.399321291437,1647.0664961678829,9.839282862452296e-05
218,kps1,69,0.2307816593824975,0.2905781087762757,0.21141712125097056
219,l9859,21,4.872282033824961,6.196721528979017,0.2088744660858915
220,l9859c,84,-16.094449446752424,6.684018294265602,0.9914897326818449
221,l9859d,43,25.886877921240316,36.51843885478641,0.23564293610867754
222,lhs1140,4,160.2242993383914,422.19417373843027,0.32245862306499185
223,lhs1140c,9,19.87882251766281,40.54282211987596,0.2977928058625764
224,lhs3844,46,0.11503990400274097,0.7235398226204156,0.4355875557511543
225,lp71447,11,217.15783682601452,179.1358798994253,0.10444942778058458
226,lp79118c,8,-343.97186354874225,544.2795724319669,0.7540998685304499
227,ltt1445a,8,-676.3288434506252,592.7091057739369,0.8860358915101815
228,ltt9779,58,-1.5612749013611467,4.146234157414642,0.6487314805017736
229,mascara4,17,3.3833302367691247,10.882197066455149,0.3719617088176084
230,ngts1,35,-2.2700835259547634,2.090875163670151,0.8647511465423605
231,ngts2,13,-4.353654153983564,2.579091534474416,0.9553966539574675
232,ngts6,45,-0.17016147211262514,0.16263958216579258,0.8552439599062676
233,ngts9,5,120.92547939618456,534.535333425061,0.3955128409400236
234,ogletr113,20,-0.01959163711260631,0.030021240757231712,0.7507051011154017
235,ogletr56,20,0.007865631346240982,0.03600626468174464,0.4101110861173496
236,pimenc,40,-22.61296962158225,19.644181208356738,0.8777853743252502
237,qatar1,455,0.029536827383906276,0.008547897843117404,0.00029570251730305907
238,qatar10,191,0.7263589282039914,0.389914556138715,0.031333292130614164
239,qatar2,107,-0.07248520503814715,0.008516442010106607,0.9999999999999253
240,qatar3,9,2.051377052223638,1.5153554557771558,0.08054718449791795
241,qatar4,70,0.07073404901795785,0.18547508214879446,0.34992152362826295
242,qatar5,17,-1.5146171804743376,1.142616424243731,0.9116208170268775
243,qatar6,6,-41.2601679797873,501.25207622208075,0.5374288167281469
244,qatar7,8,-12.396561946546962,6.838255401560611,0.9650088210046114
245,qatar8,35,2.2936804583627945,4.309521578270555,0.2930346358241691
246,qatar9,42,-0.49645492836653293,0.4325919907818541,0.8770792952803252
247,tic2576897,12,-12.985676316632835,131.65830030859877,0.542433305586646
248,toi1130,4,-7904.681897040344,3014.9620756860186,0.9902136549726186
249,toi121,9,-62.67366373713783,225.95843352892925,0.6185770555668846
250,toi125,15,-1839.734812208896,608.3941291487246,0.9972984587648781
251,toi1259a,64,2.294918328968812,2.8253530027543667,0.20568263740362291
252,toi125c,8,13460.175430962136,4665.743404862891,0.0048323756380071695
253,toi1296,29,-40.46225324710168,77.20498684235102,0.7049664396335538
254,toi1298,31,-3.9029662701711536,143.23211263572105,0.5111794402360971
255,toi150.1,60,4.53105134851741,28.518635353709797,0.4359743756247112
256,toi1518,4,-596.2982389584402,1014.646831382892,0.7588793962940892
257,toi157,183,1.2318646199093068,1.5483466807896973,0.21224148059734277
258,toi163,91,7.981661360637393,8.58678426219773,0.17465357256755704
259,toi169,30,5.432242252817583,10.025343180420956,0.28952611177145293
260,toi172,6,153.23405146985488,144.07373794781213,0.12428873152164119
261,toi1728,11,-419.31087294771163,174.7144699164778,0.9889927645202452
262,toi1789,20,-7.794433066968785,64.86913866924834,0.5498734370998223
263,toi21,9,-367.04690000951484,1542.4631668921168,0.602196863506486
264,toi216.1,15,-431952.202116122,749.8256829258772,1.0
265,toi216.2,26,652847.7425034973,478.1602914009811,1.2644023028148667e-67
266,toi269,25,-13.048032926108728,27.699208793386138,0.6866507663238899
267,toi270,9,105.40031371835686,107.64644308128102,0.14965576240818065
268,toi270c,20,73.45865762708328,82.83530066868043,0.18012862511643374
269,toi270d,10,-502.3111432587463,708.960618328189,0.7766703661309474
270,toi421c,6,-3572.998524654005,2254.0464691875018,0.9485837265752162
271,toi431,21,-2.3473117433757524,2.5307325431231558,0.8296993918043862
272,toi431d,4,-1552.2946802248437,3444.131952824871,0.707046397647797
273,toi451c,7,-1905.2036587576413,12043.017421279754,0.5702006933899907
274,toi451d,5,-1437.6582202075215,14090.958977073315,0.5476804606726886
275,toi481,23,-7.398853063015726,96.69809056014681,0.531740573470429
276,toi530,16,36.68034605649124,57.266275610693086,0.2509674852144136
277,toi561c,6,28.55346914427046,709.8995392613448,0.48168572291219025
278,toi564,23,31.119836474116056,41.693066835022755,0.22069478443952883
279,toi640,10,81.65287812281368,188.2875259319752,0.3191148913776455
280,toi674,32,-6.3216418659742875,11.342257932916839,0.716012927075129
281,toi677,8,-410.4288591288866,384.48838202247885,0.8715222998571794
282,toi70c,20,-459.22773296023934,404.83302136192566,0.8777521059839337
283,toi776,6,2306.215595937114,6677.960561135397,0.34751477144705617
284,toi776c,4,4963.212661511572,16371.428488278563,0.35581901018445694
285,toi824,22,-5.25118046325631,21.033726893624895,0.6022402200417076
286,toi837,9,749.6502644236677,934.70815786898,0.195482530913197
287,toi95,17,-8.279751668274818,40.989311978047056,0.5838538221164045
288,tres1,148,0.011190370230440472,0.02496954440081533,0.32612348916945644
289,tres2,599,-0.051482440710463734,0.009015096666323103,0.9999999911770249
290,tres3,478,0.013707435186902265,0.0031966224585636793,1.0491865545838907e-05
291,tres4,50,1.16698810614818,0.278545945670072,4.446263666171656e-05
292,tres5,226,0.010266341377008496,0.012314547138185718,0.20159217000767216
293,wasp1,68,-0.010361478075527526,0.07240182652328163,0.5575966453696309
294,wasp110,7,-23.60921001096498,71.01467524726712,0.6444678309455523
295,wasp113,18,-7.318808394522377,5.2655012639473,0.9213794765541885
296,wasp114,16,0.14759661652859696,0.21376696069709417,0.23616530274729686
297,wasp117,12,1.8206210427233582,7.884400569849316,0.40229252431797546
298,wasp118,17,1.2641169774939134,1.6754789957801417,0.21647142973517863
299,wasp119,117,-0.373183378598778,0.5595767817772207,0.7489496574485854
300,wasp12,408,-0.07948787228421006,0.0035860205234798694,1.0
301,wasp120,26,1.0211390772941533,1.1327795018079978,0.17790752013443706
302,wasp121,64,-0.0032533911564736834,0.02068327337334372,0.5632714404934397
303,wasp123,19,0.13131707561329278,0.6636554612443195,0.418062323908478
304,wasp124,13,0.4041075825962758,0.846258625487176,0.30619987009420824
305,wasp126,173,-0.4763252960055763,0.473698913121069,0.8435080463130186
306,wasp127,23,-0.22395543339803564,0.417220333744905,0.7104290859725098
307,wasp129,9,-1.3871803929518816,3.576838683470517,0.6631080148491388
308,wasp130,7,-6.56769850024173,15.02050873512663,0.6863766495703088
309,wasp131,7,3.9966512275628747,7.51251862814549,0.2780401356013109
310,wasp132,10,1.6051851304139153,3.732789865459647,0.31874520668557166
311,wasp133,5,-0.6296338938221266,2.3007674646595198,0.625546409142195
312,wasp135,35,0.06386601967272305,0.12714626170616405,0.3036075560262157
313,wasp136,8,-1.4729648796659425,4.544205850664652,0.6391452783883687
314,wasp138,14,4.969506061053867,1.9775554302385532,0.00824019611497691
315,wasp139,18,-2.4582857861308156,3.528609020495146,0.7663962579048411
316,wasp140,35,-0.009168346082324131,0.11626307777822605,0.532228708307279
317,wasp141,19,1.0718278105048935,1.2944732997734882,0.19569576733173788
318,wasp142,21,-0.3770874172911002,0.818353549205046,0.6841339423782498
