planet  transit_time 	error      	source         	ID             
GJ436b         2454505.5124   	0.0019         	exoclock       	GJ436b_1119_2008-02-09_Astronomical_Observatory,_University_of_Siena_R_Alessandro_Marchini
GJ436b         2454505.5146   	0.0005         	literature     	2008ApJ...677L..59R
GJ436b         2454513.4469   	0.002          	exoclock       	GJ436b_1122_2008-02-16_Astronomical_Observatory,_University_of_Siena_R_Alessandro_Marchini
GJ436b         2454513.4481   	0.0011         	exoclock       	GJ436b_1122_2008-02-16_Stefanik_Observatory_R_Filip_Walter
GJ436b         2454534.5966   	0.00015        	literature     	2008A&A...487L...5A
GJ436b         2454859.79571  	8e-05          	literature     	2011ApJ...731...16B
GJ436b         2454862.44     	0.0009         	exoclock       	GJ436b_1254_2009-01-30_Astronomical_Observatory,_University_of_Siena_R_Alessandro_Marchini
GJ436b         2455597.445    	0.004          	exoclock       	GJ436b_1532_2011-02-04_Astronomical_Observatory,_University_of_Siena_Clear_Alessandro_Marchini
GJ436b         2455991.3845   	0.0007         	exoclock       	GJ436b_1681_2012-03-04_Stefanik_Observatory_R_Filip_Walter
GJ436b         2455999.3194   	0.0018         	exoclock       	GJ436b_1684_2012-03-12_Astronomical_Observatory,_University_of_Siena_R_Alessandro_Marchini
GJ436b         2456226.69131  	0.00011        	literature     	2014Natur.505...66K
GJ436b         2456261.0621   	0.0001         	literature     	2014Natur.505...66K
GJ436b         2456271.6376   	0.0001         	literature     	2014Natur.505...66K
GJ436b         2456295.4327   	7e-05          	literature     	2014Natur.505...66K
GJ436b         2457456.1012   	0.0012         	literature     	2021ApJS..255...15W
GJ436b         2457855.3353   	0.0009         	exoclock       	GJ436b_2386_2017-04-11_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche
GJ436b         2458159.3838   	0.0022         	exoclock       	GJ436b_2501_2018-02-09_Osservatorio_Polifunzionale_del_Chianti_Astrodon_ExoPlanet-BB_Lorenzo_Betti
GJ436b         2458582.4041   	0.0008         	exoclock       	GJ436b_2661_2019-04-08_Observatoire_des_Baronnies_Provençales_V_Anaël_Wünsche
GJ436b         2458619.4209   	0.0013         	exoclock       	GJ436b_2675_2019-05-15_Observatoire_des_Baronnies_Provençales_V_Anaël_Wünsche
GJ436b         2458878.524    	0.0008         	exoclock       	GJ436b_2773_2020-01-30_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche
GJ436b         2458886.4521   	0.0008         	exoclock       	GJ436b_2776_2020-02-06_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche
GJ436b         2458886.4542   	0.0015         	exoclock       	GJ436b_2776_2020-02-06_Alto-Observatory_R_Alberto_Tomatis
GJ436b         2458894.382    	0.003          	exoclock       	GJ436b_2779_2020-02-14_Alto_2000_Lum_Roland_Casali
